# JMH 1.17.4 (released 264 days ago, please consider updating!)
# VM version: JDK 1.8.0_144, VM 25.144-b01
# VM invoker: /home/opt/jdk1.8.0_144/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: benchmark.NavigableParallelStreamBenchmarkTest.testIt

# Run progress: 0.00% complete, ETA 00:20:00
# Fork: 1 of 5
# Warmup Iteration   1: 188402.885 ops/s
# Warmup Iteration   2: 202749.005 ops/s
# Warmup Iteration   3: 206912.400 ops/s
# Warmup Iteration   4: 208482.461 ops/s
# Warmup Iteration   5: 209228.348 ops/s
# Warmup Iteration   6: 203458.413 ops/s
# Warmup Iteration   7: 209975.290 ops/s
# Warmup Iteration   8: 206813.335 ops/s
# Warmup Iteration   9: 210174.728 ops/s
# Warmup Iteration  10: 208787.516 ops/s
# Warmup Iteration  11: 202258.619 ops/s
# Warmup Iteration  12: 209430.700 ops/s
# Warmup Iteration  13: 207854.313 ops/s
# Warmup Iteration  14: 208467.479 ops/s
# Warmup Iteration  15: 205711.068 ops/s
# Warmup Iteration  16: 203534.705 ops/s
# Warmup Iteration  17: 209828.761 ops/s
# Warmup Iteration  18: 209032.099 ops/s
# Warmup Iteration  19: 207610.961 ops/s
# Warmup Iteration  20: 199727.532 ops/s
Iteration   1: 204496.659 ops/s
Iteration   2: 205283.093 ops/s
Iteration   3: 209495.438 ops/s
Iteration   4: 207246.090 ops/s
Iteration   5: 209689.377 ops/s
Iteration   6: 205589.572 ops/s
Iteration   7: 203592.784 ops/s
Iteration   8: 206854.671 ops/s
Iteration   9: 208050.875 ops/s
Iteration  10: 208832.989 ops/s
Iteration  11: 213131.559 ops/s
Iteration  12: 205565.868 ops/s
Iteration  13: 207572.643 ops/s
Iteration  14: 206638.849 ops/s
Iteration  15: 207703.348 ops/s
Iteration  16: 217454.757 ops/s
Iteration  17: 214619.857 ops/s
Iteration  18: 234192.375 ops/s
Iteration  19: 218821.249 ops/s
Iteration  20: 280577.158 ops/s

# Run progress: 3.33% complete, ETA 00:19:30
# Fork: 2 of 5
# Warmup Iteration   1: 158869.045 ops/s
# Warmup Iteration   2: 199848.169 ops/s
# Warmup Iteration   3: 203643.371 ops/s
# Warmup Iteration   4: 200766.882 ops/s
# Warmup Iteration   5: 205252.775 ops/s
# Warmup Iteration   6: 203489.484 ops/s
# Warmup Iteration   7: 204293.382 ops/s
# Warmup Iteration   8: 205144.386 ops/s
# Warmup Iteration   9: 202468.620 ops/s
# Warmup Iteration  10: 204278.445 ops/s
# Warmup Iteration  11: 204969.867 ops/s
# Warmup Iteration  12: 201134.697 ops/s
# Warmup Iteration  13: 201501.119 ops/s
# Warmup Iteration  14: 201047.899 ops/s
# Warmup Iteration  15: 204558.252 ops/s
# Warmup Iteration  16: 204512.649 ops/s
# Warmup Iteration  17: 201644.175 ops/s
# Warmup Iteration  18: 206237.293 ops/s
# Warmup Iteration  19: 206743.867 ops/s
# Warmup Iteration  20: 202418.965 ops/s
Iteration   1: 202757.029 ops/s
Iteration   2: 204313.345 ops/s
Iteration   3: 205594.028 ops/s
Iteration   4: 205959.020 ops/s
Iteration   5: 203748.279 ops/s
Iteration   6: 201438.760 ops/s
Iteration   7: 201002.049 ops/s
Iteration   8: 202902.305 ops/s
Iteration   9: 203849.476 ops/s
Iteration  10: 200543.487 ops/s
Iteration  11: 203711.433 ops/s
Iteration  12: 205272.732 ops/s
Iteration  13: 203346.575 ops/s
Iteration  14: 205257.175 ops/s
Iteration  15: 202023.890 ops/s
Iteration  16: 203770.229 ops/s
Iteration  17: 195205.028 ops/s
Iteration  18: 203252.785 ops/s
Iteration  19: 202866.763 ops/s
Iteration  20: 201545.142 ops/s

# Run progress: 6.67% complete, ETA 00:18:52
# Fork: 3 of 5
# Warmup Iteration   1: 177985.650 ops/s
# Warmup Iteration   2: 199046.179 ops/s
# Warmup Iteration   3: 204560.905 ops/s
# Warmup Iteration   4: 205329.811 ops/s
# Warmup Iteration   5: 202951.223 ops/s
# Warmup Iteration   6: 203681.238 ops/s
# Warmup Iteration   7: 208696.196 ops/s
# Warmup Iteration   8: 208315.585 ops/s
# Warmup Iteration   9: 206763.391 ops/s
# Warmup Iteration  10: 205746.279 ops/s
# Warmup Iteration  11: 205475.533 ops/s
# Warmup Iteration  12: 203356.424 ops/s
# Warmup Iteration  13: 204862.195 ops/s
# Warmup Iteration  14: 207137.614 ops/s
# Warmup Iteration  15: 203280.195 ops/s
# Warmup Iteration  16: 201730.905 ops/s
# Warmup Iteration  17: 203313.624 ops/s
# Warmup Iteration  18: 206979.698 ops/s
# Warmup Iteration  19: 205589.750 ops/s
# Warmup Iteration  20: 205519.552 ops/s
Iteration   1: 201874.745 ops/s
Iteration   2: 203308.185 ops/s
Iteration   3: 204081.086 ops/s
Iteration   4: 203520.138 ops/s
Iteration   5: 204668.716 ops/s
Iteration   6: 207114.294 ops/s
Iteration   7: 204210.872 ops/s
Iteration   8: 199288.327 ops/s
Iteration   9: 206124.680 ops/s
Iteration  10: 206123.041 ops/s
Iteration  11: 204964.607 ops/s
Iteration  12: 203776.944 ops/s
Iteration  13: 205785.082 ops/s
Iteration  14: 203827.948 ops/s
Iteration  15: 208219.789 ops/s
Iteration  16: 205789.563 ops/s
Iteration  17: 205606.953 ops/s
Iteration  18: 206641.529 ops/s
