# JMH 1.17.4 (released 264 days ago, please consider updating!)
# VM version: JDK 1.8.0_144, VM 25.144-b01
# VM invoker: /home/opt/jdk1.8.0_144/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: benchmark.NavigableParallelStreamBenchmarkTest.testIt

# Run progress: 0.00% complete, ETA 00:16:40
# Fork: 1 of 5
# Warmup Iteration   1: 146390.458 ops/s
# Warmup Iteration   2: 205990.407 ops/s
# Warmup Iteration   3: 208932.371 ops/s
# Warmup Iteration   4: 219179.036 ops/s
# Warmup Iteration   5: 213638.670 ops/s
# Warmup Iteration   6: 232581.530 ops/s
# Warmup Iteration   7: 213836.175 ops/s
# Warmup Iteration   8: 214832.184 ops/s
# Warmup Iteration   9: 222514.073 ops/s
# Warmup Iteration  10: 205975.454 ops/s
# Warmup Iteration  11: 230021.151 ops/s
# Warmup Iteration  12: 208593.709 ops/s
# Warmup Iteration  13: 207986.298 ops/s
# Warmup Iteration  14: 205972.150 ops/s
# Warmup Iteration  15: 213373.466 ops/s
# Warmup Iteration  16: 216660.111 ops/s
# Warmup Iteration  17: 200138.604 ops/s
# Warmup Iteration  18: 221252.716 ops/s
# Warmup Iteration  19: 210404.527 ops/s
# Warmup Iteration  20: 211773.118 ops/s
Iteration   1: 212661.424 ops/s
Iteration   2: 202894.060 ops/s
Iteration   3: 219992.748 ops/s
Iteration   4: 214038.126 ops/s
Iteration   5: 225743.443 ops/s
Iteration   6: 227666.828 ops/s
Iteration   7: 199691.955 ops/s
Iteration   8: 203251.591 ops/s
Iteration   9: 212250.965 ops/s
Iteration  10: 207788.840 ops/s
Iteration  11: 204699.378 ops/s
Iteration  12: 214972.254 ops/s
Iteration  13: 205440.662 ops/s
Iteration  14: 212567.206 ops/s
Iteration  15: 214731.178 ops/s
Iteration  16: 235524.489 ops/s
Iteration  17: 202472.301 ops/s
Iteration  18: 205653.850 ops/s
Iteration  19: 201179.170 ops/s
Iteration  20: 205294.202 ops/s

# Run progress: 4.00% complete, ETA 00:16:11
# Fork: 2 of 5
# Warmup Iteration   1: 159507.036 ops/s
# Warmup Iteration   2: 210747.341 ops/s
# Warmup Iteration   3: 225600.170 ops/s
# Warmup Iteration   4: 211934.075 ops/s
# Warmup Iteration   5: 226956.323 ops/s
# Warmup Iteration   6: 219417.824 ops/s
# Warmup Iteration   7: 215536.933 ops/s
# Warmup Iteration   8: 213026.386 ops/s
# Warmup Iteration   9: 212048.879 ops/s
# Warmup Iteration  10: 217561.850 ops/s
# Warmup Iteration  11: 214679.964 ops/s
# Warmup Iteration  12: 214296.280 ops/s
# Warmup Iteration  13: 219560.110 ops/s
# Warmup Iteration  14: 211349.497 ops/s
